Iteration,Attribut,Execution Time (s),RAM Before (MB),RAM After (MB),Records Processed
26,multipleBirthInteger,0.016,50.4,50.4,21
26,communication_combinations,0.017,50.4,50.4,21
2,custodian,0.407,78.02,91.42,34
2,location,0.523,76.45,90.45,68
2,serviceProvider,0.523,76.45,90.45,68
3,location,0.344,80.54,80.54,30
3,custodian,0.503,91.54,91.84,34
4,location,0.416,81.02,81.02,30
3,location,0.527,90.45,90.45,68
3,serviceProvider,0.528,90.45,90.45,68
2,code_triplets,0.721,92.08,109.3,200
2,performer,0.721,92.08,109.3,200
5,location,0.357,81.03,81.03,30
4,custodian,0.463,91.59,93.12,34
4,location,0.535,90.45,90.45,68
4,serviceProvider,0.536,90.45,90.45,68
6,location,0.361,81.03,81.03,30
3,code_triplets,0.651,110.72,109.8,200
3,performer,0.651,110.72,109.8,200
5,custodian,0.466,91.84,92.91,34
5,location,0.522,91.01,91.01,68
5,serviceProvider,0.523,91.01,91.01,68
7,location,0.393,81.03,81.03,30
8,location,0.335,81.03,81.03,30
6,custodian,0.455,93.24,93.31,34
6,location,0.397,91.01,91.01,68
6,serviceProvider,0.398,91.01,91.01,68
4,code_triplets,0.619,110.95,111.0,200
4,performer,0.62,110.95,111.0,200
9,location,0.328,81.03,81.03,30
7,custodian,0.485,93.38,93.39,34
7,location,0.502,91.01,91.01,68
7,serviceProvider,0.502,91.01,91.01,68
10,location,0.405,81.03,81.03,30
5,code_triplets,0.689,111.05,111.13,200
5,performer,0.69,111.05,111.13,200
8,custodian,0.489,93.41,93.42,34
11,location,0.406,81.07,81.12,30
8,location,0.507,91.01,91.01,68
8,serviceProvider,0.508,91.01,91.01,68
12,location,0.353,81.12,81.12,30
9,custodian,0.519,93.42,93.48,34
9,location,0.489,91.01,91.01,68
9,serviceProvider,0.49,91.01,91.01,68
6,code_triplets,0.703,110.0,111.12,200
6,performer,0.704,110.0,111.12,200
13,location,0.345,81.12,81.12,30
10,location,0.443,91.01,91.01,68
10,serviceProvider,0.444,91.01,91.01,68
14,location,0.357,81.12,81.12,30
7,code_triplets,0.617,111.21,110.01,200
7,performer,0.617,111.21,110.01,200
15,location,0.294,81.12,81.12,30
11,location,0.45,91.01,91.01,68
11,serviceProvider,0.451,91.01,91.01,68
12,location,0.35,91.01,91.01,68
12,serviceProvider,0.35,91.01,91.01,68
8,code_triplets,0.518,109.7,110.91,200
8,performer,0.519,109.7,110.91,200
9,code_triplets,0.512,111.09,109.88,200
9,performer,0.512,111.09,109.88,200
10,code_triplets,0.555,111.15,111.15,200
10,performer,0.556,111.15,111.15,200
11,code_triplets,0.56,111.23,110.21,200
11,performer,0.56,111.23,110.21,200
12,code_triplets,0.559,111.58,111.66,200
12,performer,0.56,111.58,111.66,200
13,code_triplets,0.545,111.75,110.5,200
13,performer,0.546,111.75,110.5,200
14,code_triplets,0.57,111.81,112.09,200
14,performer,0.571,111.81,112.09,200
1,location,0.018,50.0,50.07,18
1,gender,0.025,49.34,49.45,21
1,maritalStatus_combinations,0.026,49.34,49.45,21
1,address_combinations,0.026,49.34,49.45,21
1,race,0.026,49.34,49.45,21
1,ethnicity,0.027,49.34,49.45,21
1,birthsex,0.027,49.34,49.45,21
1,multipleBirthInteger,0.028,49.34,49.45,21
1,communication_combinations,0.028,49.34,49.45,21
2,location,0.022,51.34,51.37,18
2,gender,0.012,50.02,50.12,21
2,maritalStatus_combinations,0.012,50.02,50.12,21
2,address_combinations,0.013,50.02,50.12,21
2,race,0.014,50.02,50.12,21
2,ethnicity,0.014,50.02,50.12,21
2,birthsex,0.015,50.02,50.12,21
2,multipleBirthInteger,0.033,50.02,50.12,21
2,communication_combinations,0.035,50.02,50.12,21
3,gender,0.012,50.13,50.13,21
3,maritalStatus_combinations,0.013,50.13,50.13,21
3,address_combinations,0.013,50.13,50.13,21
3,race,0.014,50.13,50.13,21
3,ethnicity,0.014,50.13,50.13,21
3,birthsex,0.015,50.13,50.13,21
3,multipleBirthInteger,0.015,50.13,50.13,21
3,communication_combinations,0.016,50.13,50.13,21
4,gender,0.009,50.13,50.13,21
4,maritalStatus_combinations,0.01,50.13,50.13,21
4,address_combinations,0.011,50.13,50.13,21
4,race,0.011,50.13,50.13,21
4,ethnicity,0.012,50.13,50.13,21
4,birthsex,0.012,50.13,50.13,21
4,multipleBirthInteger,0.013,50.13,50.13,21
4,communication_combinations,0.013,50.13,50.13,21
5,gender,0.01,50.13,50.13,21
5,maritalStatus_combinations,0.011,50.13,50.13,21
5,address_combinations,0.012,50.13,50.13,21
5,race,0.012,50.13,50.13,21
5,ethnicity,0.013,50.13,50.13,21
5,birthsex,0.013,50.13,50.13,21
5,multipleBirthInteger,0.014,50.13,50.13,21
5,communication_combinations,0.014,50.13,50.13,21
6,gender,0.009,50.13,50.13,21
6,maritalStatus_combinations,0.01,50.13,50.13,21
6,address_combinations,0.01,50.13,50.13,21
6,race,0.011,50.13,50.13,21
6,ethnicity,0.011,50.13,50.13,21
6,birthsex,0.012,50.13,50.13,21
6,multipleBirthInteger,0.012,50.13,50.13,21
6,communication_combinations,0.013,50.13,50.13,21
7,gender,0.011,50.13,50.13,21
7,maritalStatus_combinations,0.012,50.13,50.13,21
7,address_combinations,0.012,50.13,50.13,21
7,race,0.013,50.13,50.13,21
7,ethnicity,0.013,50.13,50.13,21
7,birthsex,0.014,50.13,50.13,21
7,multipleBirthInteger,0.014,50.13,50.13,21
7,communication_combinations,0.015,50.13,50.13,21
8,gender,0.009,50.13,50.13,21
8,maritalStatus_combinations,0.01,50.13,50.13,21
8,address_combinations,0.011,50.13,50.13,21
8,race,0.011,50.13,50.13,21
8,ethnicity,0.012,50.13,50.13,21
8,birthsex,0.012,50.13,50.13,21
8,multipleBirthInteger,0.013,50.13,50.13,21
8,communication_combinations,0.013,50.13,50.13,21
9,gender,0.009,50.13,50.13,21
9,maritalStatus_combinations,0.009,50.13,50.13,21
9,address_combinations,0.01,50.13,50.13,21
9,race,0.01,50.13,50.13,21
9,ethnicity,0.011,50.13,50.13,21
9,birthsex,0.011,50.13,50.13,21
9,multipleBirthInteger,0.012,50.13,50.13,21
9,communication_combinations,0.012,50.13,50.13,21
10,gender,0.01,50.13,50.13,21
10,maritalStatus_combinations,0.01,50.13,50.13,21
10,address_combinations,0.011,50.13,50.13,21
10,race,0.011,50.13,50.13,21
10,ethnicity,0.011,50.13,50.13,21
10,birthsex,0.012,50.13,50.13,21
10,multipleBirthInteger,0.013,50.13,50.13,21
10,communication_combinations,0.013,50.13,50.13,21
11,gender,0.015,50.13,50.13,21
11,maritalStatus_combinations,0.015,50.13,50.13,21
11,address_combinations,0.016,50.13,50.13,21
11,race,0.016,50.13,50.13,21
11,ethnicity,0.017,50.13,50.13,21
11,birthsex,0.017,50.13,50.13,21
11,multipleBirthInteger,0.018,50.13,50.13,21
11,communication_combinations,0.018,50.13,50.13,21
1,location,0.286,59.46,67.68,30
12,gender,0.036,50.13,50.13,21
12,maritalStatus_combinations,0.036,50.13,50.13,21
12,address_combinations,0.037,50.13,50.13,21
12,race,0.038,50.13,50.13,21
12,ethnicity,0.038,50.13,50.13,21
12,birthsex,0.039,50.13,50.13,21
12,multipleBirthInteger,0.039,50.13,50.13,21
12,communication_combinations,0.04,50.13,50.13,21
13,gender,0.013,50.13,50.13,21
13,maritalStatus_combinations,0.014,50.13,50.13,21
13,address_combinations,0.015,50.13,50.13,21
13,race,0.015,50.13,50.13,21
13,ethnicity,0.016,50.13,50.13,21
13,birthsex,0.016,50.13,50.13,21
13,multipleBirthInteger,0.016,50.13,50.13,21
13,communication_combinations,0.017,50.13,50.13,21
14,gender,0.012,50.13,50.13,21
14,maritalStatus_combinations,0.013,50.13,50.13,21
14,address_combinations,0.013,50.13,50.13,21
14,race,0.014,50.13,50.13,21
14,ethnicity,0.014,50.13,50.13,21
14,birthsex,0.015,50.13,50.13,21
14,multipleBirthInteger,0.015,50.13,50.13,21
14,communication_combinations,0.015,50.13,50.13,21
1,location,0.4,66.35,73.41,68
1,serviceProvider,0.4,66.35,73.41,68
1,custodian,0.388,60.05,74.54,34
15,gender,0.01,50.13,50.13,21
15,maritalStatus_combinations,0.011,50.13,50.13,21
15,address_combinations,0.011,50.13,50.13,21
15,race,0.012,50.13,50.13,21
15,ethnicity,0.012,50.13,50.13,21
15,birthsex,0.013,50.13,50.13,21
15,multipleBirthInteger,0.013,50.13,50.13,21
15,communication_combinations,0.014,50.13,50.13,21
16,gender,0.01,50.13,50.13,21
16,maritalStatus_combinations,0.01,50.13,50.13,21
16,address_combinations,0.011,50.13,50.13,21
16,race,0.011,50.13,50.13,21
16,ethnicity,0.012,50.13,50.13,21
16,birthsex,0.012,50.13,50.13,21
16,multipleBirthInteger,0.013,50.13,50.13,21
16,communication_combinations,0.013,50.13,50.13,21
17,gender,0.01,50.13,50.13,21
17,maritalStatus_combinations,0.011,50.13,50.13,21
17,address_combinations,0.012,50.13,50.13,21
17,race,0.012,50.13,50.13,21
17,ethnicity,0.013,50.13,50.13,21
17,birthsex,0.013,50.13,50.13,21
17,multipleBirthInteger,0.014,50.13,50.13,21
17,communication_combinations,0.014,50.13,50.13,21
18,gender,0.012,50.13,50.13,21
18,maritalStatus_combinations,0.013,50.13,50.13,21
18,address_combinations,0.014,50.13,50.13,21
18,race,0.014,50.13,50.13,21
18,ethnicity,0.014,50.13,50.13,21
18,birthsex,0.015,50.13,50.13,21
18,multipleBirthInteger,0.015,50.13,50.13,21
18,communication_combinations,0.016,50.13,50.13,21
19,gender,0.008,50.13,50.13,21
19,maritalStatus_combinations,0.008,50.13,50.13,21
19,address_combinations,0.009,50.13,50.13,21
19,race,0.009,50.13,50.13,21
19,ethnicity,0.01,50.13,50.13,21
19,birthsex,0.01,50.13,50.13,21
19,multipleBirthInteger,0.011,50.13,50.13,21
19,communication_combinations,0.011,50.13,50.13,21
20,gender,0.009,50.13,50.13,21
20,maritalStatus_combinations,0.009,50.13,50.13,21
20,address_combinations,0.01,50.13,50.13,21
20,race,0.011,50.13,50.13,21
20,ethnicity,0.011,50.13,50.13,21
20,birthsex,0.012,50.13,50.13,21
20,multipleBirthInteger,0.012,50.13,50.13,21
20,communication_combinations,0.013,50.13,50.13,21
21,gender,0.008,50.13,50.13,21
21,maritalStatus_combinations,0.009,50.13,50.13,21
21,address_combinations,0.009,50.13,50.13,21
21,race,0.01,50.13,50.13,21
21,ethnicity,0.01,50.13,50.13,21
21,birthsex,0.011,50.13,50.13,21
21,multipleBirthInteger,0.011,50.13,50.13,21
21,communication_combinations,0.012,50.13,50.13,21
22,gender,0.01,50.13,50.13,21
22,maritalStatus_combinations,0.011,50.13,50.13,21
22,address_combinations,0.012,50.13,50.13,21
22,race,0.012,50.13,50.13,21
22,ethnicity,0.013,50.13,50.13,21
22,birthsex,0.013,50.13,50.13,21
22,multipleBirthInteger,0.014,50.13,50.13,21
22,communication_combinations,0.014,50.13,50.13,21
23,gender,0.031,50.13,50.13,21
23,maritalStatus_combinations,0.032,50.13,50.13,21
23,address_combinations,0.033,50.13,50.13,21
23,race,0.033,50.13,50.13,21
23,ethnicity,0.034,50.13,50.13,21
23,birthsex,0.034,50.13,50.13,21
23,multipleBirthInteger,0.035,50.13,50.13,21
23,communication_combinations,0.035,50.13,50.13,21
24,gender,0.011,50.13,50.13,21
24,maritalStatus_combinations,0.012,50.13,50.13,21
24,address_combinations,0.012,50.13,50.13,21
24,race,0.013,50.13,50.13,21
24,ethnicity,0.013,50.13,50.13,21
24,birthsex,0.014,50.13,50.13,21
24,multipleBirthInteger,0.014,50.13,50.13,21
24,communication_combinations,0.015,50.13,50.13,21
25,gender,0.01,50.14,50.14,21
25,maritalStatus_combinations,0.011,50.14,50.14,21
25,address_combinations,0.012,50.14,50.14,21
25,race,0.012,50.14,50.14,21
25,ethnicity,0.013,50.14,50.14,21
25,birthsex,0.013,50.14,50.14,21
25,multipleBirthInteger,0.014,50.14,50.14,21
25,communication_combinations,0.014,50.14,50.14,21
2,location,0.34,70.7,80.73,30
1,code_triplets,0.678,83.66,85.32,200
1,performer,0.679,83.66,85.32,200
26,gender,0.012,50.14,50.14,21
26,maritalStatus_combinations,0.013,50.14,50.14,21
26,address_combinations,0.013,50.14,50.14,21
26,race,0.014,50.14,50.14,21
26,ethnicity,0.014,50.14,50.14,21
26,birthsex,0.015,50.14,50.14,21
26,multipleBirthInteger,0.015,50.14,50.14,21
26,communication_combinations,0.016,50.14,50.14,21
2,custodian,0.356,77.31,91.76,34
2,location,0.454,75.41,90.48,68
2,serviceProvider,0.454,75.41,90.48,68
3,location,0.354,80.81,80.87,30
3,custodian,0.398,91.67,91.99,34
4,location,0.261,81.31,81.31,30
3,location,0.38,90.48,90.48,68
3,serviceProvider,0.381,90.48,90.48,68
2,code_triplets,0.563,91.2,109.2,200
2,performer,0.563,91.2,109.2,200
5,location,0.287,81.31,81.31,30
4,custodian,0.337,93.0,92.09,34
4,location,0.438,91.04,91.04,68
4,serviceProvider,0.439,91.04,91.04,68
6,location,0.358,81.31,81.31,30
3,code_triplets,0.577,109.64,110.02,200
3,performer,0.578,109.64,110.02,200
5,custodian,0.412,92.99,93.14,34
5,location,0.441,91.04,91.04,68
5,serviceProvider,0.442,91.04,91.04,68
7,location,0.341,81.31,81.31,30
6,custodian,0.411,93.22,92.12,34
8,location,0.275,81.31,81.31,30
4,code_triplets,0.56,109.91,111.19,200
4,performer,0.561,109.91,111.19,200
6,location,0.369,91.04,91.04,68
6,serviceProvider,0.369,91.04,91.04,68
9,location,0.304,81.31,81.31,30
7,custodian,0.427,92.99,93.09,34
7,location,0.419,91.04,91.04,68
7,serviceProvider,0.419,91.04,91.04,68
10,location,0.323,81.31,81.31,30
5,code_triplets,0.566,111.52,111.54,200
5,performer,0.567,111.52,111.54,200
8,custodian,0.394,93.22,93.27,34
11,location,0.353,81.31,81.31,30
8,location,0.453,91.04,91.04,68
8,serviceProvider,0.454,91.04,91.04,68
12,location,0.281,81.31,81.31,30
9,custodian,0.427,93.54,93.61,34
9,location,0.387,91.04,91.04,68
9,serviceProvider,0.388,91.04,91.04,68
6,code_triplets,0.581,111.55,110.17,200
6,performer,0.582,111.55,110.17,200
13,location,0.335,81.31,81.31,30
10,custodian,0.428,93.66,92.29,34
10,location,0.419,91.04,91.04,68
10,serviceProvider,0.42,91.04,91.04,68
14,location,0.331,81.31,81.31,30
11,custodian,0.365,93.16,93.29,34
7,code_triplets,0.576,111.42,111.43,200
7,performer,0.577,111.42,111.43,200
15,location,0.286,81.31,81.31,30
11,location,0.432,91.04,91.04,68
11,serviceProvider,0.433,91.04,91.04,68
12,custodian,0.399,93.35,92.15,34
12,location,0.359,91.04,91.04,68
12,serviceProvider,0.359,91.04,91.04,68
8,code_triplets,0.546,111.59,110.3,200
8,performer,0.547,111.59,110.3,200
13,location,0.365,91.04,91.04,68
13,serviceProvider,0.366,91.04,91.04,68
9,code_triplets,0.512,111.2,111.72,200
9,performer,0.512,111.2,111.72,200
10,code_triplets,0.563,112.0,110.2,200
10,performer,0.563,112.0,110.2,200
11,code_triplets,0.552,111.36,111.39,200
11,performer,0.552,111.36,111.39,200
